genes	IDTranscript/RepeatID (cmd=analyzeRepeats.pl /home/labs/amit/eyald/bin/data/chicken_galGal5/gg5.ens90.P2000M.gtf none -d MP_16_chicken_1A.M MP_17_chicken_2A.M MP_18_chicken_3A.M -count exons -condenseGenes -strand + -raw)	chr	start	end	strand	Length	Copies	Annotation/Divergence	MP_16_chicken_1A.M (2734712.0 total)	MP_17_chicken_2A.M (2690336.0 total)	MP_18_chicken_3A.M (3577958.0 total)
TMEM100	ENSGALT00000044444	chr18	6080400	6088421	-	3629.0	1	0.000	0.000	1.000	1.000
DNASE2B	ENSGALT00000014330	chr8	16666749	16675946	-	1125.0	1	0.000	283.000	370.000	405.000
gga-mir-1637	ENSGALT00000042355	chr18	10349156	10349220	-	64.0	1	0.000	0.000	0.000	0.000
ENSGALG00000007040	ENSGALT00000011404	chr9	12721876	12778586	+	3178.0	1	0.000	89.000	88.000	113.000
ENSGALG00000032762	ENSGALT00000054699	chrUn_NT_476060v1	-1979	1677	-	2709.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036828	ENSGALT00000080483	chr13	9359403	9362196	-	687.0	1	0.000	0.000	0.000	0.000
GCNT2	ENSGALT00000020841	chr2	63466809	63472739	-	821.0	1	0.000	0.000	0.000	0.000
BORCS8	ENSGALT00000069337	chr28	3587094	3596835	+	2758.0	1	0.000	108.000	106.000	127.000
MPL	ENSGALT00000038608	chr8	19742564	19746687	+	1891.0	1	0.000	3.000	1.000	7.000
ENSGALG00000033782	ENSGALT00000057162	chrUn_NT_467941v1	731	1894	-	645.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040915	ENSGALT00000078883	chrUn_NT_467558v1	2281	4348	-	604.0	1	0.000	0.000	0.000	0.000
ENSGALG00000016325	ENSGALT00000026336	chr3	88741974	88748682	+	928.0	1	0.000	121.000	147.000	254.000
C3orf18	ENSGALT00000003506	chr12	1770019	1778134	-	2476.0	1	0.000	1.000	0.000	0.000
ENSGALG00000040955	ENSGALT00000074241	chrUn_NT_469858v1	7561	9252	-	141.0	1	0.000	0.000	0.000	0.000
SH3BGRL3	ENSGALT00000090192	chr23	216431	220318	-	3169.0	1	0.000	3034.000	3483.000	3539.000
ENSGALG00000045292	ENSGALT00000088902	chr27_NT_463348v1_random	2646	5425	-	1119.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037696	ENSGALT00000061465	chr4	66691222	66694375	-	1343.0	1	0.000	8.000	3.000	2.000
ENSGALG00000039520	ENSGALT00000080224	chr5_NT_460664v1_random	134	3417	-	1883.0	1	0.000	0.000	0.000	0.000
CLOCK	ENSGALT00000037540	chr4	65499998	65522295	+	3503.0	1	0.000	81.000	63.000	73.000
DUPD1	ENSGALT00000008036	chr6	14955839	14975346	+	770.0	1	0.000	0.000	0.000	0.000
ENSGALG00000009231	ENSGALT00000015025	chr6	28877053	28888056	+	1615.0	1	0.000	0.000	0.000	0.000
MTMR6	ENSGALT00000027648	chr1	177109111	177128040	+	1808.0	1	0.000	1.000	1.000	13.000
CHIR-B5	ENSGALT00000068754	chrUn_NT_464226v1	8022	32303	+	2962.0	1	0.000	0.000	0.000	0.000
PIGG	ENSGALT00000024770	chrZ	53222477	53335831	-	2809.0	1	0.000	12.000	10.000	12.000
ENSGALG00000002499	ENSGALT00000003942	chr23	4362854	4396027	-	4491.0	1	0.000	24.000	36.000	44.000
ACADSB	ENSGALT00000073480	chr6	31483001	31498645	+	6601.0	1	0.000	28.000	29.000	44.000
POLDIP3	ENSGALT00000019356	chr1	49207530	49221469	+	3144.0	1	0.000	70.000	72.000	108.000
ENSGALG00000016258	ENSGALT00000026217	chr1	113045418	113063987	-	1313.0	1	0.000	0.000	0.000	0.000
REG4	ENSGALT00000004627	chr8	4258298	4261712	+	2610.0	1	0.000	5.000	11.000	7.000
RPS6	ENSGALT00000085059	chrZ	33736468	33740954	-	1660.0	1	0.000	2081.000	2078.000	2660.000
RXFP3	ENSGALT00000028099	chrZ	10315101	10318441	+	3340.0	1	0.000	0.000	0.000	0.000
C10orf107	ENSGALT00000004758	chr6	8438347	8491796	-	3346.0	1	0.000	0.000	1.000	0.000
ENSGALG00000043152	ENSGALT00000050316	chr18	1504429	1506807	+	1308.0	1	0.000	0.000	0.000	0.000
ENSGALG00000024136	ENSGALT00000040780	chr25	1069829	1071422	-	831.0	1	0.000	0.000	0.000	1.000
ENSGALG00000030539	ENSGALT00000066844	chr3	26852882	26854422	+	1174.0	1	0.000	1.000	3.000	2.000
FAM175B	ENSGALT00000062166	chr6	32204515	32223629	+	4994.0	1	0.000	105.000	111.000	119.000
P4HB	ENSGALT00000055031	chr18	10010615	10018970	-	2545.0	1	0.000	686.000	525.000	662.000
ANKS1A	ENSGALT00000004295	chr26	4190355	4271977	-	5333.0	1	0.000	2.000	0.000	4.000
ENSGALG00000046124	ENSGALT00000085636	chr17	7326597	7330947	-	2527.0	1	0.000	0.000	0.000	0.000
ARF6	ENSGALT00000045497	chr5	57835096	57835623	+	527.0	1	0.000	1120.000	1073.000	1638.000
ENSGALG00000038918	ENSGALT00000052683	chr4_NT_459826v1_random	5385	8528	+	2668.0	1	0.000	0.000	0.000	0.000
Edar	ENSGALT00000075816	chr1	136466224	136491227	-	1286.0	1	0.000	0.000	0.000	0.000
ENSGALG00000013751	ENSGALT00000022342	chr3	52394230	52396956	-	799.0	1	0.000	4.000	3.000	3.000
C9orf116	ENSGALT00000063626	chr17	8201404	8204513	-	2698.0	1	0.000	4.000	8.000	10.000
ENSGALG00000020906	ENSGALT00000033544	chr19	4353059	4355832	+	1032.0	1	0.000	0.000	0.000	0.000
MSANTD2	ENSGALT00000049344	chr24	267205	287711	+	2539.0	1	0.000	53.000	46.000	67.000
ENSGALG00000019233	ENSGALT00000051683	chr1	83118686	83139637	-	1105.0	1	0.000	0.000	0.000	0.000
ENSGALG00000022815	ENSGALT00000036713	chr3	107914855	107917298	-	487.0	1	0.000	0.000	0.000	0.000
ENSGALG00000041258	ENSGALT00000077196	chr23	2220571	2223453	-	1714.0	1	0.000	2.000	2.000	0.000
PLCB1	ENSGALT00000014420	chr3	14217032	14580122	-	5766.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045883	ENSGALT00000089830	chr27	549761	550066	+	305.0	1	0.000	0.000	0.000	0.000
LAMP5	ENSGALT00000014499	chr3	13942840	13952475	-	2008.0	1	0.000	4.000	6.000	2.000
ENSGALG00000014960	ENSGALT00000024127	chrZ	23821306	23844301	+	1658.0	1	0.000	30.000	24.000	28.000
ENSGALG00000012418	ENSGALT00000020299	chr7	32809167	32861788	+	2397.0	1	0.000	16.000	13.000	16.000
ENSGALG00000035957	ENSGALT00000073832	chr10_NT_461830v1_random	21	2171	-	1435.0	1	0.000	0.000	0.000	0.000
ZHX1	ENSGALT00000047443	chr2	138093730	138096351	-	2621.0	1	0.000	23.000	30.000	38.000
OLFM4	ENSGALT00000027385	chr1	165561980	165586181	-	1459.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046581	ENSGALT00000085092	chr2	58703922	58719902	-	253.0	1	0.000	0.000	0.000	0.000
GAS2	ENSGALT00000005791	chr5	2933411	3012233	+	2013.0	1	0.000	0.000	0.000	0.000
FIGN	ENSGALT00000018023	chr7	20674536	20676779	+	2243.0	1	0.000	7.000	17.000	30.000
ENSGALG00000030769	ENSGALT00000053317	chr4	61536299	61629758	-	1186.0	1	0.000	0.000	0.000	0.000
NMRK1	ENSGALT00000077373	chrZ	36834493	36842715	-	2660.0	1	0.000	33.000	33.000	50.000
ENSGALG00000029769	ENSGALT00000080850	chrUn_NT_465988v1	10559	14860	-	2827.0	1	0.000	0.000	0.000	0.000
PTPN5	ENSGALT00000010293	chr5	12683002	12717134	-	3574.0	1	0.000	0.000	0.000	1.000
gga-mir-103-2	ENSGALT00000029035	chr4	89093068	89095150	-	2082.0	1	0.000	104.000	101.000	121.000
ENSGALG00000038238	ENSGALT00000062420	chr4	21346631	21350664	-	1648.0	1	0.000	0.000	0.000	0.000
ENSGALG00000042059	ENSGALT00000050205	chr2	15836220	15876234	+	638.0	1	0.000	0.000	2.000	11.000
CHGA	ENSGALT00000017591	chr5	44953316	44963482	+	1921.0	1	0.000	0.000	1.000	0.000
SCARNA13	ENSGALT00000042608	chr5	46142995	46143267	-	272.0	1	0.000	1.000	0.000	0.000
gga-mir-1747	ENSGALT00000042289	chr2	61829376	61829452	-	76.0	1	0.000	4.000	3.000	0.000
ENSGALG00000034956	ENSGALT00000063421	chrUn_NT_464175v1	2120	6167	-	3305.0	1	0.000	0.000	0.000	0.000
ZNF410	ENSGALT00000016570	chr5	37714805	37731352	+	1976.0	1	0.000	52.000	44.000	41.000
ENSGALG00000029752	ENSGALT00000049132	chr23_NT_463097v1_random	735	5008	-	556.0	1	0.000	0.000	0.000	0.000
ENSGALG00000030452	ENSGALT00000054832	chr1	34809345	34810586	+	887.0	1	0.000	0.000	0.000	1.000
ENSGALG00000028473	ENSGALT00000044885	chr15	8946359	8952613	+	1402.0	1	0.000	11.000	11.000	12.000
GPR82	ENSGALT00000084514	chr1	111879414	111882448	-	3034.0	1	0.000	0.000	1.000	1.000
ENSGALG00000035617	ENSGALT00000072251	chrUn_NT_474291v1	-1166	2151	-	2223.0	1	0.000	0.000	0.000	0.000
MAFB	ENSGALT00000005816	chr20	4834751	4839401	-	4650.0	1	0.000	7103.000	7543.000	8028.000
gga-mir-199-1	ENSGALT00000028984	chr17	5571579	5573672	+	2093.0	1	0.000	1.000	0.000	2.000
ENSGALG00000044839	ENSGALT00000087208	chrZ	60879621	60882216	-	1601.0	1	0.000	0.000	0.000	0.000
ASH2L	ENSGALT00000005118	chr22	2281515	2288928	+	2406.0	1	0.000	64.000	50.000	74.000
ASCL1	ENSGALT00000069263	chr1	55116728	55118741	-	1896.0	1	0.000	0.000	0.000	0.000
PRTFDC1	ENSGALT00000012469	chr2	16752986	16797681	+	1016.0	1	0.000	9.000	14.000	17.000
ENSGALG00000042755	ENSGALT00000074016	chr21	5016232	5022863	+	583.0	1	0.000	0.000	0.000	0.000
ENSGALG00000041231	ENSGALT00000050245	chrUn_NT_466449v1	12110	12196	+	86.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045980	ENSGALT00000089590	chrUn_NT_472557v1	2641	5204	+	2480.0	1	0.000	0.000	0.000	0.000
SVOPL	ENSGALT00000020903	chr1	56415234	56434260	+	3471.0	1	0.000	0.000	0.000	0.000
SERAC1	ENSGALT00000022317	chr3	52004334	52023447	-	1940.0	1	0.000	3.000	2.000	6.000
ENSGALG00000001921	ENSGALT00000002974	chr17	8375202	8377212	+	829.0	1	0.000	13.000	10.000	9.000
AOAH	ENSGALT00000061127	chr2	46845061	46898210	+	3460.0	1	0.000	10.000	19.000	41.000
VPS39	ENSGALT00000014624	chr5	25573504	25598610	-	6806.0	1	0.000	63.000	56.000	78.000
ARNTL2	ENSGALT00000022820	chr1	68192301	68228416	+	3211.0	1	0.000	15.000	7.000	11.000
ENSGALG00000045661	ENSGALT00000083733	chr2_NT_457962v1_random	8378	15243	-	2189.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034204	ENSGALT00000062205	chr27	5016357	5018646	-	1143.0	1	0.000	0.000	1.000	0.000
BRK1	ENSGALT00000071826	chr12	2736852	2737239	-	223.0	1	0.000	22.000	13.000	17.000
ENSGALG00000044133	ENSGALT00000086533	chr12	11508862	11510333	+	1077.0	1	0.000	1.000	0.000	0.000
EMX2	ENSGALT00000015139	chr6	29304393	29311456	+	2739.0	1	0.000	0.000	0.000	2.000
ENSGALG00000037933	ENSGALT00000082794	chr2	126664603	126688404	-	1058.0	1	0.000	1.000	0.000	3.000
ENSGALG00000021525	ENSGALT00000034796	chr10	2531907	2533175	-	1268.0	1	0.000	0.000	0.000	0.000
CSRNP1	ENSGALT00000044280	chr2	5277138	5282741	+	1706.0	1	0.000	189.000	212.000	736.000
FAM207A	ENSGALT00000012147	chr7	7184962	7240371	+	3125.0	1	0.000	241.000	255.000	305.000
ENSGALG00000030239	ENSGALT00000048375	chrUn_NT_467319v1	5568	7611	-	1871.0	1	0.000	0.000	0.000	0.000
G6PC3	ENSGALT00000072215	chrUn_NT_464349v1	16480	27298	+	8314.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046448	ENSGALT00000090197	chr33	1178501	1179813	-	613.0	1	0.000	0.000	0.000	0.000
NCL	ENSGALT00000058391	chr9	15322922	15330360	-	2538.0	1	0.000	518.000	526.000	619.000
NDUFV2	ENSGALT00000085197	chr2	98878492	98892366	-	938.0	1	0.000	114.000	137.000	154.000
IRX3	ENSGALT00000058026	chr11	4648344	4651811	+	3224.0	1	0.000	0.000	0.000	0.000
DCTN6	ENSGALT00000016753	chr4	35008708	35010511	-	804.0	1	0.000	176.000	209.000	220.000
OTOP3	ENSGALT00000042989	chr18	10656715	10663393	+	3657.0	1	0.000	0.000	0.000	0.000
ENSGALG00000042244	ENSGALT00000054693	chr1	15334382	15351483	-	1063.0	1	0.000	0.000	1.000	0.000
ENSGALG00000042152	ENSGALT00000060343	chr33	827837	829802	+	1656.0	1	0.000	0.000	0.000	0.000
RNF41	ENSGALT00000063352	chr33	702180	711674	-	3144.0	1	0.000	29.000	57.000	51.000
FAM19A2	ENSGALT00000030682	chr1	32729364	32758798	-	418.0	1	0.000	0.000	0.000	1.000
NUAK2	ENSGALT00000054640	chr26	2072752	2082974	-	3919.0	1	0.000	0.000	0.000	0.000
ENSGALG00000042825	ENSGALT00000073147	chrUn_NT_467105v1	2968	13735	-	3067.0	1	0.000	0.000	0.000	0.000
ENSGALG00000000400	ENSGALT00000000545	chr26	1357092	1364505	+	1831.0	1	0.000	1.000	0.000	0.000
ENSGALG00000046102	ENSGALT00000089164	chr2_NT_458443v1_random	84	3296	+	2563.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045412	ENSGALT00000089024	chr13_NT_462197v1_random	10036	12486	-	2450.0	1	0.000	0.000	0.000	0.000
SMC6	ENSGALT00000026569	chr3	100592888	100629358	-	5830.0	1	0.000	51.000	62.000	85.000
ENSGALG00000036323	ENSGALT00000057122	chrUn_NT_466843v1	9370	15399	+	2673.0	1	0.000	0.000	0.000	0.000
ENSGALG00000016165	ENSGALT00000026050	chr1	109383706	109388083	-	657.0	1	0.000	0.000	0.000	0.000
ENSGALG00000028403	ENSGALT00000044358	chr5	33091512	33091608	-	96.0	1	0.000	0.000	0.000	0.000
UAP1	ENSGALT00000065116	chr8	3823063	3826949	-	1189.0	1	0.000	3.000	4.000	5.000
NKD1	ENSGALT00000055713	chr11	6380689	6468341	-	1216.0	1	0.000	2.000	2.000	17.000
KLF10	ENSGALT00000059886	chr2	129823997	129826375	-	1375.0	1	0.000	345.000	346.000	698.000
ENSGALG00000046075	ENSGALT00000089128	chrZ	27255007	27258546	+	537.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034360	ENSGALT00000076045	chrUn_NT_464266v1	4571	25177	+	2872.0	1	0.000	0.000	0.000	0.000
SNORD99	ENSGALT00000042302	chr23	2554634	2556704	-	2070.0	1	0.000	94.000	136.000	152.000
ENSGALG00000003885	ENSGALT00000006181	chr8	5837149	5838130	-	671.0	1	0.000	0.000	1.000	1.000
CAV2	ENSGALT00000082770	chr1	25079044	25090122	-	4580.0	1	0.000	34.000	27.000	47.000
ENSGALG00000035251	ENSGALT00000081489	chr16	389004	390598	-	1169.0	1	0.000	1.000	17.000	7.000
gga-mir-138-1	ENSGALT00000028990	chr2	40872171	40874266	-	2095.0	1	0.000	0.000	0.000	0.000
CFL2	ENSGALT00000016285	chr5	35996920	36001763	-	3411.0	1	0.000	49.000	57.000	77.000
CREBRF	ENSGALT00000043177	chr13	9162986	9174916	+	3760.0	1	0.000	400.000	352.000	464.000
ENSGALG00000043959	ENSGALT00000084720	chr6_NT_460837v1_random	14675	20639	-	3037.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036714	ENSGALT00000077247	chr3	110879816	110898149	-	1101.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044773	ENSGALT00000086016	chr1	123447907	123449388	-	444.0	1	0.000	0.000	0.000	0.000
SOX12	ENSGALT00000074269	chr20	10172797	10175639	-	2842.0	1	0.000	4.000	0.000	2.000
AREL1	ENSGALT00000016704	chr5	38050591	38068051	-	4741.0	1	0.000	9.000	9.000	16.000
ENSGALG00000045164	ENSGALT00000083596	chrUn_NT_471489v1	579	3456	+	2646.0	1	0.000	0.000	0.000	0.000
gga-mir-6648-1	ENSGALT00000044615	chr15	6705939	6708037	+	2098.0	1	0.000	1.000	0.000	1.000
RMST_6	ENSGALT00000045079	chr1	46309846	46310047	+	201.0	1	0.000	0.000	0.000	0.000
ENSGALG00000042620	ENSGALT00000058166	chrUn_NT_474466v1	992	4659	-	3511.0	1	0.000	0.000	0.000	0.000
SMPD3	ENSGALT00000074830	chr11	191662	298948	+	4528.0	1	0.000	8.000	6.000	11.000
ENSGALG00000043807	ENSGALT00000061191	chrUn_NT_474154v1	343	6923	+	4125.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044170	ENSGALT00000090067	chr3	110178600	110179200	-	294.0	1	0.000	0.000	0.000	0.000
ACVR1	ENSGALT00000068474	chr7	36448667	36651282	-	2764.0	1	0.000	99.000	75.000	87.000
CYP2R1	ENSGALT00000009745	chr5	10521091	10531593	-	3932.0	1	0.000	20.000	20.000	18.000
ENSGALG00000043806	ENSGALT00000056061	chr15	4902090	4914473	-	3456.0	1	0.000	0.000	1.000	0.000
ENSGALG00000043390	ENSGALT00000059989	chr2	103416843	103491928	+	5352.0	1	0.000	1.000	0.000	1.000
ENSGALG00000029771	ENSGALT00000078539	chrUn_NT_464168v1	2889	35852	-	1920.0	1	0.000	0.000	0.000	0.000
gga-mir-30b	ENSGALT00000028998	chr2	142755715	142757801	-	2086.0	1	0.000	1.000	2.000	1.000
CCT6	ENSGALT00000003859	chr19	4871788	4878028	+	1886.0	1	0.000	203.000	174.000	203.000
ENSGALG00000042246	ENSGALT00000075405	chr32_NT_463446v1_random	2572	8133	+	3197.0	1	0.000	0.000	0.000	0.000
ENSGALG00000038674	ENSGALT00000066920	chrUn_NT_465515v1	8230	17218	-	6110.0	1	0.000	0.000	0.000	0.000
UPP1	ENSGALT00000051585	chr2	80188950	80197440	+	1524.0	1	0.000	0.000	1.000	0.000
ENSGALG00000040072	ENSGALT00000078867	chr1_NT_457337v1_random	1726	6408	+	2626.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032241	ENSGALT00000052393	chrUn_NT_465739v1	2365	4430	+	2065.0	1	0.000	0.000	0.000	0.000
RTKN2	ENSGALT00000004715	chr6	8246582	8277706	+	5033.0	1	0.000	3.000	1.000	3.000
ENSGALG00000036529	ENSGALT00000068161	chr27_NT_463317v1_random	9324	11638	+	2314.0	1	0.000	0.000	0.000	0.000
UHRF1BP1L	ENSGALT00000018849	chr1	47186191	47253542	-	4312.0	1	0.000	4.000	2.000	6.000
SPRED1	ENSGALT00000044535	chr5	30750050	30805661	-	3932.0	1	0.000	985.000	802.000	919.000
PDXP	ENSGALT00000037821	chr1	51216088	51219459	-	2119.0	1	0.000	54.000	44.000	37.000
ENSGALG00000037714	ENSGALT00000057879	chr6	26171029	26173945	-	697.0	1	0.000	89.000	103.000	150.000
ENSGALG00000042899	ENSGALT00000059873	chr1_NT_456225v1_random	14783	17708	-	2633.0	1	0.000	0.000	0.000	0.000
RNLS	ENSGALT00000070430	chr6	9456710	9519679	+	1140.0	1	0.000	5.000	9.000	9.000
gga-mir-6616	ENSGALT00000042751	chr1	92351545	92351654	+	109.0	1	0.000	0.000	0.000	0.000
ENSGALG00000016410	ENSGALT00000026468	chr1	119825758	119834931	+	1931.0	1	0.000	155.000	182.000	256.000
PDE5	ENSGALT00000074538	chr4	55004594	55059970	+	2563.0	1	0.000	0.000	3.000	6.000
ENSGALG00000028207	ENSGALT00000045739	chr9	20762518	20774873	+	1961.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043969	ENSGALT00000086992	chrUn_NT_465537v1	6647	9260	-	2409.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036457	ENSGALT00000073805	chr1	65540604	65540713	+	109.0	1	0.000	0.000	0.000	0.000
ABR	ENSGALT00000006958	chr19	6317334	6341909	+	4519.0	1	0.000	698.000	661.000	737.000
ENSGALG00000036522	ENSGALT00000067276	chr8	26910809	26916263	-	1607.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045690	ENSGALT00000089716	chrZ	42580469	42764407	-	387.0	1	0.000	0.000	1.000	0.000
ENSGALG00000045638	ENSGALT00000086097	chr1	194827743	194828324	+	373.0	1	0.000	0.000	0.000	0.000
ARL8A	ENSGALT00000040899	chr26	342889	354803	-	3989.0	1	0.000	67.000	70.000	75.000
ENSGALG00000046071	ENSGALT00000084929	chr3	4251353	4255178	+	459.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045368	ENSGALT00000089899	chr7	29935570	30258813	-	8080.0	1	0.000	5.000	51.000	79.000
ENSGALG00000032069	ENSGALT00000060070	chr3	90034820	90054328	+	402.0	1	0.000	0.000	0.000	0.000
ENSGALG00000015687	ENSGALT00000025300	chr4	83332108	83333493	+	1353.0	1	0.000	0.000	0.000	2.000
RNASEH2B	ENSGALT00000088898	chr1	169902421	169940734	+	1506.0	1	0.000	289.000	301.000	381.000
ADRA2C	ENSGALT00000025167	chr4	82152617	82153957	-	1340.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046046	ENSGALT00000087512	chrZ	77882562	77935631	+	482.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044090	ENSGALT00000088014	chrUn_NT_469106v1	3943	6700	+	2512.0	1	0.000	0.000	0.000	0.000
ENSGALG00000010486	ENSGALT00000017075	chr6	34890408	34902709	+	1552.0	1	0.000	0.000	0.000	0.000
SIK2	ENSGALT00000078547	chr24	59373	97543	+	2704.0	1	0.000	22.000	15.000	25.000
C12orf73	ENSGALT00000068252	chr1	54754183	54755465	+	1034.0	1	0.000	59.000	54.000	61.000
CCDC63	ENSGALT00000084649	chr15	6075725	6083508	+	3632.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044320	ENSGALT00000088345	chr2_NT_457906v1_random	11049	14701	-	2452.0	1	0.000	0.000	0.000	0.000
ENSGALG00000030830	ENSGALT00000046283	chrZ	64656508	64656576	-	68.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040886	ENSGALT00000075799	chr20_NT_462807v1_random	4880	16094	+	5116.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032630	ENSGALT00000060192	chr2_NT_458320v1_random	21	3308	-	1038.0	1	0.000	0.000	0.000	0.000
STAC	ENSGALT00000057423	chr2	45916083	45988453	+	3188.0	1	0.000	0.000	0.000	0.000
GPI	ENSGALT00000085739	chr11	11103531	11126326	+	3961.0	1	0.000	162.000	122.000	170.000
NISCH	ENSGALT00000075547	chr12	595210	630769	+	6207.0	1	0.000	104.000	81.000	111.000
ENSGALG00000042150	ENSGALT00000069129	chr7	6419449	6421527	-	654.0	1	0.000	0.000	0.000	0.000
S100B	ENSGALT00000033666	chr7	6920734	6925751	+	3479.0	1	0.000	0.000	0.000	0.000
STX6	ENSGALT00000006170	chr8	5822526	5838519	+	4800.0	1	0.000	79.000	85.000	97.000
ENSGALG00000026035	ENSGALT00000007028	chr5	1344929	1345867	-	938.0	1	0.000	0.000	0.000	0.000
PSMB3	ENSGALT00000002423	chr27	4430363	4435166	+	2780.0	1	0.000	65.000	78.000	86.000
DLG3	ENSGALT00000080844	chr4	2487721	2530898	-	4429.0	1	0.000	19.000	12.000	8.000
ENSGALG00000011806	ENSGALT00000019269	chr7	28071747	28077677	-	1545.0	1	0.000	0.000	0.000	0.000
METAP1	ENSGALT00000019988	chr4	60307683	60331666	+	2862.0	1	0.000	6.000	3.000	7.000
gga-mir-1583	ENSGALT00000042138	chrZ	70734341	70734438	+	97.0	1	0.000	0.000	0.000	0.000
ENSGALG00000004348	ENSGALT00000006938	chr14	3345291	3350085	+	1359.0	1	0.000	1.000	1.000	1.000
